RAND40499	17q21.31 deletion syndrome
RAND29831	unclassified epileptic seizures
RAND41838	Simple partial seizures with somatosensory or special sensory dysfunction
RAND63777	complex focal seizures
RAND61807	complex partial seizure with impairment of consciousness
RAND64605	complex partial seizures with consciousness impaired
RAND36791	automatism absence
RAND52555	automatism petit mal
RAND52408	complex partial seizure with automatisms
RAND34615	complex partial seizures with automatisms
RAND90677	epileptic automatism
RAND50195	epileptic complex partial seizures with automatisms
RAND97659	Secondarily generalised seizures
RAND42634	secondary generalisation
RAND31248	secondary generalised seizure
RAND56951	secondary generalised seizures
RAND60849	secondary generalization
RAND25894	secondary generalized seizure
RAND10921	secondary generalized seizures
RAND36671	tonic seizure
RAND13704	tonic seizures
RAND37805	atonic seizure
RAND32204	atonic seizures
RAND83193	epileptic drop attack
RAND42660	benign focal epilepsy of childhood
RAND49750	childhood benign focal epilepsy
RAND44041	childhood benign focal epilepsy
RAND84681	extratemporal epilepsy
RAND24430	generalised idiopathic epilepsy and epileptic syndromes
RAND71716	generalized idiopathic epilepsy and epileptic syndromes nos
RAND91813	idiopathic generalised epilepsy
RAND62390	IGE
RAND41880	ige
RAND24733	primary generalised epilepsy
RAND10078	primary generalized epilepsy
RAND23010	benign neonatal convulsion
RAND88755	benign neonatal convulsion
RAND98662	benign neonatal seizures
RAND69271	benign neonatal seizures [ambiguous]
RAND78384	convulsions, benign neonatal
RAND36372	epilepsy, benign neonatal
RAND18053	neonatal convulsion, benign
RAND40855	neonatal convulsions, benign
RAND57506	neonatal epilepsies, benign
RAND38690	neonatal epilepsy, benign
RAND16826	adolescent myoclonic epilepsies
RAND94443	adolescent myoclonic epilepsy
RAND29769	epilepsies, adolescent myoclonic
RAND87261	epilepsy, adolescent myoclonic
RAND98110	epilepsy, juvenile myoclonic
RAND73134	epilepsy, myoclonic, juvenile
RAND17286	impulsive petit mal epilepsy
RAND43726	impulsive petit mal of janz
RAND42147	impulsive petit mal, janz
RAND89271	impulsive petit-mal epilepsy
RAND87643	janz impulsive petit mal
RAND74716	janz juvenile myoclonic epilepsy
RAND54353	JME
RAND23710	JME - juvenile myoclonic epilepsy
RAND27408	juvenile epilepsies, myoclonic
RAND31393	juvenile epilepsy, myoclonic
RAND82718	juvenile myoclonic epilepsies
RAND62140	juvenile myoclonic epilepsy
RAND10429	juvenile myoclonic epilepsy
RAND46020	myoclonic epilepsies, adolescent
RAND12494	myoclonic epilepsies, juvenile
RAND63357	myoclonic juvenile epilepsies
RAND13369	myoclonic juvenile epilepsy
RAND85284	Symptomatic generalised epilepsy
RAND98997	Early Myoclonic Encephalopathy
RAND90185	myoclonic epilepsy, neonatal, with suppression-burst pattern
RAND49984	Myoclonic Epilepsy, Neonatal, With Suppression-Burst Pattern
RAND96200	symptomatic early myoclonic encephalopathy
RAND44584	symptomatic early myoclonic encephalopathy
RAND70734	epilepsies, reflex
RAND17407	epilepsy associated with specific stimuli
RAND22230	epilepsy, reflex
RAND72198	epilepsy, sensory-induced
RAND17891	reflex epilepsies
RAND66785	sensory-induced epilepsy
RAND36952	hallucination seizure
RAND21614	partial seizure, visual
RAND10778	partial seizures, visual
RAND61637	seizure, visual partial
RAND46025	visual partial seizures
RAND33169	visual seizure
RAND98548	visual seizure (finding)
RAND17596	gustatory partial seizures
RAND89741	gustatory seizure
RAND71696	gustatory seizure (finding)
RAND52421	partial seizure, gustatory
RAND75783	partial seizures, gustatory
RAND83303	seizure, gustatory partial
RAND47001	reading epilepsy
RAND97977	Reading seizure
RAND37254	partial seizure with impaired consciousness
RAND66147	partial seizure with impaired consciousness (finding)
RAND90198	partial seizure with illusions and hallucinations
RAND72535	partial seizure with illusions and hallucinations (finding)
RAND47536	partial seizure with multiple symptoms
RAND97483	partial seizure with multiple symptoms (finding)
RAND42162	Landau-Kleffner syndrome
RAND93367	Acquired aphasia with epilepsy
RAND21634	Acquired epileptic aphasia
RAND70801	Acquired aphasia with epilepsy
RAND20609	epilepsies, generalized convulsive
RAND52226	epilepsy, generalized convulsive
RAND25731	generalised convulsive epilepsy
RAND97263	generalised convulsive epilepsy nos
RAND74263	generalised-onset seizures
RAND27575	generalised-onset seizures
RAND86592	generalized convulsive epilepsies
RAND33783	generalized convulsive epilepsies
RAND86223	generalized convulsive epilepsy
RAND76504	generalized onset seizure disorder
RAND75351	generalized seizure dis convulsive
RAND57961	epilepsy co-occurrent and due to dementia
RAND59724	epilepsy with dementia
RAND90046	epileptic dementia
RAND85989	Symptomatic Myoclonic Epilepsies
RAND85051	Symptomatic Myoclonic Epilepsy
RAND46915	akinetic epilepsies
RAND68372	akinetic epilepsy
RAND38466	epilepsies, akinetic
RAND34135	epilepsy, akinetic
RAND96459	epileptic seizures - akinetic
RAND80622	epileptic seizures - akinetic (finding)
RAND44412	seizures, akinetic
RAND77723	epileptic seizures - clonic
RAND27361	epileptic seizures - clonic (finding)
RAND34788	epileptic seizures, clonic
RAND99586	epilepsy, psychosensory
RAND39598	psychosensory epilepsy
RAND66294	epilepsy, somatosensory
RAND74643	somatosensory epilepsy
RAND24864	rolandic epilepsy
RAND57359	focal encephalitis
RAND27218	rasmussen syndrome
RAND91701	Rasmussen encephalitis
RAND29887	other specified myoclonus
RAND52054	symptomatic myoclonus
RAND23757	drug-induced myoclonus
RAND63873	segmental cord myoclonus
RAND15512	palatal-tympanic myoclonus
RAND48886	hyoid myoclonus
RAND87456	dancing eyes dancing feet syndrome
RAND34596	dancing eyes, dancing feet syndrome
RAND36202	dancing eyes-dancing feet syndrome
RAND64778	opsoclonus myoclonus ataxia
RAND38966	opsoclonus myoclonus syndrome
RAND64753	Benign atypical partial epilepsy in childhood
RAND67491	BCEOP - benign childhood epilepsy with occipital paroxysms
RAND76308	benign occipital epilepsy of childhood
RAND81734	childhood benign occipital epilepsy
RAND83794	childhood benign occipital epilepsy
RAND42155	childhood epilepsy with occipital paroxysms
RAND20186	panayiotopoulos syndrome
RAND49078	Early-onset benign childhood occipital epilepsy
RAND16294	Benign childhood occipital epilepsy Panayiotopoulos type
RAND70948	Parietal lobe epilepsy
RAND49309	parietal lobe epilepsy
RAND55833	Lobe Epilepsy, Occipital
RAND51328	occipital lobe epilepsy
RAND51302	Occipital lobe epilepsy
RAND33695	occipital lobe seizure
RAND25489	occipital lobe seizures
RAND75771	epilepsy with generalised tonic clonic seizures on awakening
RAND44598	epilepsy with grand mal seizures on awakening
RAND95159	doose syndrome
RAND98408	dooze syndrome
RAND38645	epilepsy with myoclonic and astatic seizures
RAND37300	epilepsy with myoclonic astatic seizures
RAND15415	epilepsy with myoclonic-astatic seizures
RAND95881	epilepsy, myoclonic astatic
RAND61179	myoclonic astatic epilepsies
RAND11896	myoclonic astatic epilepsies
RAND34680	myoclonic astatic epilepsy
RAND67877	myoclonic astatic epilepsy 
RAND62217	myoclonic atonic seizure
RAND23770	myoclonic-atonic seizures
RAND12372	myoclonic absence seizure
RAND14418	myoclonic absence seizures
RAND72659	Early infant epileptic encephalopathy wth suppression bursts
RAND94770	Early infantile epileptic encephalopathy with suppression bursts
RAND22915	Early infantile epileptic encephalopathy with suppression bursts
RAND96489	Ohtahara syndrome
RAND46090	drug-induced epilepsy
RAND80583	epilepsies, photosensitive reflex
RAND75394	epilepsy, photogenic
RAND75087	epilepsy, photosensitive
RAND35425	epilepsy, photosensitive reflex
RAND79481	photic epilepsy
RAND75899	photogenic epilepsy
RAND46735	photosensitive epilepsies
RAND27877	photosensitive epilepsy
RAND24930	photosensitive reflex epilepsies
RAND48620	photosensitive reflex epilepsy
RAND66213	reflex epilepsies, photosensitive
RAND53653	reflex epilepsy, photosensitive
RAND19724	television epilepsy
RAND53293	epilepsy only in relation to photic stimulation
RAND79293	epilepsy only to photic stimul
RAND71989	pure photosensitive epilepsy
RAND52212	eyelid myoclonus with absences
RAND31711	photomyoclonus
RAND85351	non-convulsive simple partial status epilepticus
RAND89481	complex partial status epilepticus 
RAND31767	psychomotor status
RAND76176	status epilepticus, complex partial
RAND35379	epilepsy dementia amelogenesis imperfecta
RAND32952	epilepsy, dementia and amelogenesis imperfecta
RAND49909	epilepsy, mental deterioration and yellow teeth
RAND83486	kohlschutter tonz syndrome
RAND70357	kohlschutter's syndrome
RAND54599	ktzs
RAND27218	auditory partial seizure
RAND53094	auditory seizures
RAND55088	Auditory uncinate fit
RAND47706	seizure, auditory
RAND10911	seizures, auditory
RAND41009	olfactory seizures
RAND41468	olfactory uncinate fit
RAND92681	seizure, olfactory
RAND37266	seizures, olfactory
RAND40277	epileptic vertigo
RAND53831	Focal sensory vestibular seizure
RAND58346	seizure, vertiginous
RAND99977	seizure, vestibular
RAND55858	seizures, vertiginous
RAND61307	seizures, vestibular
RAND68925	vertiginous epilepsy
RAND97011	vertiginous seizures
RAND82793	vestibular seizure
RAND73926	vestibular seizures
RAND67015	Versive Seizures
RAND54182	absence seizure with impairment of consciousness only
RAND46987	absence seizure with mild clonic components
RAND61538	absence seizure with atonic components
RAND33240	absences, atonic
RAND11798	absence seizure with tonic components
RAND47029	absence seizure with automatisms
RAND75007	absence seizure, automatisms
RAND20821	absence seizure with autonomic components
RAND24562	Myoclonic Encephalopathies
RAND12152	Myoclonic Encephalopathy
RAND90314	visual reflex epilepsy
RAND28504	unilateral epilepsy
RAND36306	localisation-related idiopathic epilepsy
RAND16552	localis-relatd idiopath epilep
RAND72107	localization-related idiopathic epilepsy
RAND90373	lesional epilepsy
RAND15427	localisation based symptomatic epilepsy
RAND41233	localisation-related symptomatic epilepsy
RAND58439	localis-relat symptom epilepsy
RAND27726	symptomatic focal epilepsy
RAND13822	symptomatic structural focal epilepsy
RAND44896	cryptogenic general epilepsy
RAND46548	cryptogenic generalised epilepsy
RAND13816	cryptogenic generalized epilepsy
RAND82195	cryptogenic generalized epilepsy disorder
RAND38830	epilepsy undeterm focal/gener
RAND16386	epilepsy undetermined whether focal or generalised
RAND75593	epilepsy undetermined whether focal or generalized
RAND85751	epilepsy undetermined whether focal or generalized (disorder)
RAND99029	localisation related idiopathic epilepsy and epileptic syndromes with seizures of localized onset
RAND57922	localisation-related idiopathic epilepsy and epileptic syndromes with seizures of localized onset nos
RAND46924	localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localised onset
RAND16469	localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localized onset
RAND19864	other generalized epilepsy and epileptic syndromes
RAND70930	other generalized epilepsy and epileptic syndromes nos
RAND18314	other epilepsy
RAND25066	other forms of epilepsy
RAND25835	other forms of epilepsy nos
RAND57020	other status epilepticus
RAND82665	localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures
RAND61895	localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures nos
RAND70946	localization-related symptomatic epilepsy and epileptic syndromes with complex partial seizures nos
RAND13110	localizsation-related symptomatic epilepsy and epileptic syndromes with complex partial seizures
RAND66615	convulsions grand mal
RAND65286	generalised tonic clonic seizure
RAND39929	generalised tonic clonic seizures
RAND12633	generalised tonic-clonic seizures
RAND76341	generalized tonic clonic seizure
RAND57193	generalized tonic clonic seizures
RAND27663	generalized tonic-clonic seizures
RAND32704	grand mal
RAND55375	grand mal convulsion
RAND16783	grand mal convulsion
RAND11157	grand mal convulsions
RAND92749	grand mal convulsions
RAND96970	tonic clonic convulsion
RAND31088	tonic clonic convulsion
RAND23634	tonic clonic convulsions
RAND20188	tonic clonic convulsions
RAND78986	tonic clonic seizure
RAND99193	tonic clonic seizures
RAND19380	tonic/clonic convulsions
RAND41636	tonic-clonic convulsion
RAND82588	focal sensory seizures
RAND64652	sensory seizures
RAND14734	salaam spasm
RAND65157	fit (in known epileptic) nos
RAND25567	recurrent febrile convulsion
RAND22845	recurrent febrile convulsion (finding)
RAND49618	recurrent febrile fit
RAND86479	rum fits
RAND58805	seizure, alcohol withdrawal
RAND53313	seizure, alcohol withdrawal-induced
RAND88488	seizure, alcoholic
RAND94952	seizure, alcohol-related
RAND77223	seizures, alcohol withdrawal
RAND12297	seizures, alcohol withdrawal-induced
RAND63024	seizures, alcoholic
RAND72166	seizures, alcohol-related
RAND93561	atypical absence seizure
RAND48792	atypical absence seizures
RAND58522	seizures, atypical absence
RAND89424	dravet syndrome
RAND84317	atypical absence epilepsy
RAND50374	epilepsy, absence, atypical
RAND91612	myoclonus, segmental
RAND13501	myoclonus, nocturnal
RAND29348	myoclonus, sleep
RAND87301	sleep myoclonus
RAND96496	amaurotic idiocy juvenile type
RAND87305	amaurotic idiocy, juvenile type
RAND28183	Batten disease, juvenile
RAND47041	Batten mayou disease
RAND86383	Batten spielmeyer vogt disease
RAND87359	Batten-Mayou syndrome
RAND10024	Batten-mayou syndrome
RAND18866	cerebral lipidosis myoclon var
RAND49360	cerebral lipidosis myoclonic variant
RAND41599	cerebral lipidosis, myoclonic variant
RAND55413	cerebroretinal degeneration, juvenile
RAND33709	cerebroretinal degenerations, juvenile
RAND80362	ceroid lipofuscinosis, neuronal 3, juvenile
RAND87358	ceroid-lipofuscinoses, cln3-related neuronal
RAND17668	ceroid-lipofuscinosis, cln3-related neuronal
RAND33145	cln3
RAND14549	cln3 related neuronal ceroid lipofuscinosis
RAND43781	disease, juvenile batten
RAND17840	diseases, juvenile batten
RAND18382	juvenile batten disease
RAND93151	juvenile cerebroretinal degeneration
RAND73899	neuronal ceroid lipofuscinosis juvenile type
RAND32809	neuronal ceroid-lipofuscinosis, cln3-related
RAND25656	spielmeyer sjogren disease
RAND87569	spielmeyer vogt disease
RAND89963	spielmeyer-vogt type neuronal ceroid lipofuscinosis
RAND86648	vogt spielmeyer disease
RAND73999	convulsions local
RAND10707	focal seizure
RAND87047	focal seizures
RAND37249	local convulsion
RAND90913	local seizure
RAND17817	partial seizure
RAND77654	partial seizure (finding)
RAND30456	partial seizure (finding)
RAND48512	partial seizures
RAND44801	seizure, focal
RAND44660	seizure, partial
RAND40462	seizures, partial, afebrile
RAND66992	status epilepticus, simple partial
RAND90939	mitochondrial diseases
RAND84375	mitochondrial disorder
RAND47704	mitochondrial disorders
RAND45347	Unverricht-Lundborg syndrome
RAND50638	Baltic myoclonus epilepsy
RAND26852	Unverricht-Lundborg disease
RAND41608	myoclonus, benign neonatal sleep
RAND65875	Benign neonatal sleep myoclonus
RAND84483	focal clonic seizures
RAND94872	focal tonic seizures
RAND61879	bilateral convulsive seizures
RAND11910	Generalized tonic-clonic seizures, secondary
RAND67261	Generalized tonic-clonic seizures, secondary
RAND69387	focal to bilateral tonic-clonic seizure
RAND69971	Secondary generalised tonic clonic seizures
RAND67484	Secondary generalized tonic clonic seizures
RAND49864	Generalized tonic-clonic seizures, secondary
RAND96185	Secondarily generalised tonic-clonic seizures
RAND59343	drug refractory epilepsies
RAND83771	drug refractory epilepsy
RAND80997	drug resistant epilepsies
RAND61967	drug resistant epilepsy
RAND52508	epilepsies, drug refractory
RAND70492	epilepsies, drug resistant
RAND31748	intractable epilepsies
RAND94045	intractable epilepsy
RAND74016	medication resistant epilepsies
RAND55337	medication resistant epilepsy
RAND74510	refractory epilepsies
RAND89772	seizures due to metabolic disorder
RAND55680	symptomatic epilepsy
RAND52523	brain syndrome
RAND77306	non-specific brain syndrome
RAND26778	non-specific brain syndrome, nos
RAND16485	epileptic spasms
RAND60151	salaam attack
RAND32640	salaam attacks
RAND73255	salaam seizure
RAND90690	salaam seizures
RAND66632	epilepsy and recurrent seizures
RAND18940	epilepsy, not intractable
RAND36770	epilepsy, not refractory
RAND25041	congenital stiff man syndrome
RAND21019	congenital stiff person syndrome
RAND81026	exagerrated startle reflex
RAND18028	exaggerated startle reaction
RAND65390	familial startle disease
RAND62231	hereditary hyperekplexia
RAND64084	hkpx1
RAND14095	hyperekplexia, hereditary 1
RAND83026	hyperexplexia hereditary
RAND17659	startle disease, familial
RAND25258	startle reaction, exaggerated
RAND39571	sthe
RAND49665	stiff baby syndrome
RAND36477	stiff-baby syndrome
RAND16344	stiff-man syndrome, congenital
RAND68002	stiff-person syndrome, congenital
RAND55210	myoclonic seizure, intractable
RAND66779	myoclonic seizure, refractory
RAND41572	myoclonic seizures, intractable
RAND34760	ganglioside gm3 synthase deficiency
RAND48182	infantile-onset symptomatic epilepsy syndrome
RAND18462	salt and pepper developmental regression syndrome
RAND19802	salt and pepper mental retardation syndrome
RAND14556	spdrs
RAND54196	hemiclonic seizures
RAND29712	Unilateral clonic seizures
RAND50207	glut1 deficiency syndrome
RAND31450	antiquitin deficiency
RAND40391	epd
RAND56778	pde
RAND40600	pyridoxine dependency
RAND84924	pyridoxine-dependent seizures
RAND97182	pnpod
RAND44127	pyridoxal 5-phosphate dependent epilepsy
RAND11089	pyridoxal 5'-phosphate-dependent epilepsy
RAND82662	pyridoxal phosphate-responsive seizures
RAND45416	pyridoxine-5'-phosphate oxidase deficiency
RAND70013	non-epileptic myoclonus
RAND60607	myoclonus of stapedius muscle
RAND33295	stapedial myoclonus
RAND11694	myoclonus of tensor tympani muscle
RAND89840	myoclonus tensor tympani muscle
RAND12727	tensor tympani myoclonus
RAND15987	benigh rolandic epilepsy 
RAND90204	Centralopathic epilepsy
RAND20549	Temporal-central focal epilepsy
RAND48068	Benign Childhood Epilepsy With Centro Temporal Spikes
RAND45113	Benign epilepsy with centrotemporal spikes
RAND77420	BECTS
RAND70070	Childhood epilepsy with centro-temporal spikes
RAND60188	CECTS
RAND38365	febrile myoclonus
RAND96209	myoclonus associated with fever
RAND87289	epilepsy, ataxia, sensorineural deafness and tubulopathy
RAND85998	seizure, sensorineural deafness, ataxia, intellectual disability, electrolyte imbalance syndrome
RAND89685	seizures, sensorineural deafness, ataxia, mental retardation and electrolyte imbalance
RAND71824	sesame (seizures, sensorineural deafness, ataxia, mental retardation, electrolyte imbalance) syndrome
RAND36889	sesames syndrome
RAND32031	epilepsy, unspecified, not intractable
RAND49645	epilepsy, unspecified, intractable
RAND76356	atherosclerosis, deafness, diabetes, epilepsy, nephropathy syndrome
RAND17613	feigenbaum bergeron richardson syndrome
RAND53454	mental retardation x-linked, tranebjaerg type seizures and psoriasis
RAND59468	tranebjaerg svejgaard syndrome
RAND41251	x-linked intellectual disability with seizure and psoriasis syndrome
RAND67239	x-linked mental retardation associated with psoriasis
RAND25402	battaglia neri syndrome
RAND29393	epilepsy, microcephaly, skeletal dysplasia syndrome
RAND84515	focal seizure with experiential sensory symptoms
RAND66564	temporo-parieto-occipital junction seizure
RAND81283	migrating partial seizures in infancy
RAND52140	myoclonic seizure, non-intractable
RAND46492	myoclonic seizure, non-refractory
RAND34109	dravet syndrome, non-intractable
RAND89726	dravet syndrome, non-refractory
RAND72238	severe myoclonic epilepsy in infancy, non-intractable
RAND91847	severe myoclonic epilepsy in infancy, non-refractory
RAND23297	dravet syndrome, refractory
RAND82612	intractable dravet syndrome 
RAND99611	severe myoclonic epilepsy in infancy, intractable
RAND54613	severe myoclonic epilepsy in infancy, refractory
RAND70066	typical absence seizure, non-intractable
RAND84009	typical absence seizure, non-refractory
RAND15296	typical absence seizure, intractable
RAND24021	typical absence seizure, refractory
RAND79977	benign childhood epilepsy with centrotemporal spikes, non-intractable
RAND94439	benign childhood epilepsy with centrotemporal spikes, non-refractory
RAND40482	benign rolandic epilepsy, non-refractory
RAND32315	benign childhood epilepsy with centrotemporal spikes, intractable
RAND50437	benign childhood epilepsy with centrotemporal spikes, refractory
RAND19419	benign rolandic epilepsy, refractory"
RAND19143	Complex partial epileptic seizure of temporal lobe
RAND78371	Complex partial seizure of temporal lobe
RAND74715	Partial epileptic seizure of temporal lobe with impairment of consciousness
RAND42859	Partial seizures of the temporal lobe with impairment of conciousness
RAND77639	rasmussen syndrome, intractable
RAND87228	rasmussen syndrome, refractory
RAND25879	acquired aphasia with epilepsy, refractory
RAND32658	acquired epileptic aphasia, intractable
RAND78345	acquired epileptic aphasia, refractory
RAND20953	Landau-Kleffner syndrome, refractory
RAND78330	acquired aphasia with epilepsy, non-refractory
RAND53306	acquired epileptic aphasia, non-intractable
RAND58892	acquired epileptic aphasia, non-refractory
RAND72341	Landau-Kleffner syndrome, non-refractory
RAND75115	intractable absence seizures
RAND42199	seizure disorder as sequela of stroke
RAND27890	rolandic seizures with status epilepticus
RAND88760	status epilepticus in benign rolandic epilepsy
RAND66141	post-cerebrovascular accident epilepsy
RAND47281	spinal cord myoclonus
RAND88737	spinal myoclonus
RAND53445	brainstem myoclonus
RAND91960	cerebral cortex myoclonus
RAND85427	cortical myoclonus
RAND54027	epilepsy in mother complicating pregnancy
RAND37679	epilepsy in pregnancy
RAND89059	epilepsy in childbirth
RAND57440	epilepsy in mother complicating childbirth
RAND27846	Absence seizure with eyelid myoclonia
RAND38755	Absence seizures with eyelid myoclonia
RAND97224	Complex partial seizure of frontal lobe 
RAND14189	Complex partial seizures of parietal lobe
RAND17568	Partial epileptic seizures of parietal lobe with impairment of consciousness
RAND32818	epileptic dementia with behavioral disturbance
RAND67635	epileptic dementia with behavioural disturbance
RAND38928	autosomal dominant cortical myoclonus and epilepsy
RAND13730	bafme - benign adult familial myoclonic epilepsy
RAND19383	benign adult familial myoclonic epilepsy
RAND96476	benign adult familial myoclonus epilepsy
RAND27096	x-linked epilepsy with learning disability and behavior disorder syndrome
RAND47268	x-linked epilepsy with learning disability and behaviour disorder syndrome
RAND76073	female restricted epilepsy with intellectual disability syndrome
RAND55026	epilepsy with eyelid myoclonia
RAND73731	generalised epilepsy with eyelid myoclonia
RAND99895	jeavons syndrome
RAND67900	jeavons' syndrome
RAND84602	adolescent benign focal crisis
RAND42005	benign focal seizure of adolescence
RAND39175	CAE
RAND86170	childhood absence epilepsy
RAND70451	Petit-mal epilepsy
RAND11599	Pyknolepsy
RAND75438	celiac disease with epilepsy and cerebral calcification syndrome
RAND26465	coeliac disease with epilepsy and cerebral calcification syndrome
RAND88557	aphasia co-occurrent with epilepsy
RAND64028	al gazali nair syndrome
RAND95059	osteogenesis imperfecta, retinopathy, seizures, intellectual disability syndrome
RAND21880	dend (developmental delay, epilepsy, neonatal diabetes) syndrome
RAND31298	dend syndrome
RAND63279	developmental delay, epilepsy, neonatal diabetes syndrome
RAND36274	sudden unexpected death in epilepsy
RAND20562	SUDEP
RAND24569	myoclonic epileptic seizures
RAND94731	myoclonic seizure
RAND17151	myoclonic seizure disorder
RAND53168	myoclonic seizures
RAND53294	myoclonic seizures
RAND20835	JAE
RAND82803	juvenile absence epilepsy
RAND64660	microcephaly, seizure, intellectual disability, heart disease syndrome
RAND86798	severe intellectual disability, epilepsy, anal anomaly, distal phalangeal hypoplasia syndrome
RAND96575	infant epilepsy with migrant focal crisis
RAND61754	epilepsy due to immune disorder
RAND72412	epilepsy due to infectious disease of central nervous system
RAND39474	epilepsy co-occurrent and due to degenerative brain disorder
RAND96878	epilepsy with degenerative brain disorder
RAND60667	epilepsy co-occurrent and due to demyelinating disorder
RAND91793	epilepsy with demyelinating disorder
RAND49204	focal myoclonus
RAND83311	focal myoclonus (finding)
RAND73201	epilepsy due to intracranial neoplasm
RAND71120	epilepsy due to intracranial tumor
RAND88230	epilepsy due to intracranial tumour
RAND54191	epilepsy due to perinatal anoxic-ischaemic brain injury
RAND27262	epilepsy due to perinatal anoxic-ischemic brain injury
RAND72675	epilepsy due to perinatal hypoxic ischaemic encephalopathy
RAND60321	epilepsy due to perinatal hypoxic ischemic encephalopathy
RAND52058	epilepsy co-occurrent and due to mesial temporal sclerosis
RAND88215	epilepsy with mesial temporal sclerosis
RAND63898	autism spectrum disorder, epilepsy, arthrogryposis syndrome
RAND65849	slc35a3-cdg - solute carrier family 35 member a3 congenital disorder of glycosylation
RAND61230	epilepsy due to cerebrovascular accident
RAND87264	epilepsy due to stroke
RAND48244	epilepsy telangiectasia syndrome
RAND31290	myoclonus, cerebellar ataxia, deafness syndrome
RAND84818	epilepsy of infancy with migrating focal seizures
RAND96424	Focal emotional seizure
RAND51768	Generalised tonic seizure
RAND25810	Generalised tonic seizures
RAND63711	Symptomatic seizure
RAND51598	Symptomatic seizures
RAND83792	focal onset epilepsy
RAND82190	Focal symptomatic epilepsy
RAND15737	frontal lobe onset seizure
RAND11781	myoclonus
RAND68472	myoclonic absence
RAND44973	myoclonic absences
RAND84100	myoclonic absence epilepsy
RAND99287	generalised seizures
RAND51041	sub-cortical epilepsy
RAND74213	idiopathic, generalised epilepsy
RAND37422	absence seizure
RAND56953	typical absence seizure
RAND55154	typical absence seizures 
RAND19185	typical absences
RAND13194	absence type seizure
RAND45935	absence type seizures
RAND94576	absence seizures
RAND55745	seizure disorder
RAND22780	gge
RAND42437	genetic generalised epilepsy
RAND68316	genetic generalized epilepsy
RAND52914	focal onset generalised tonic-clonic seizures
RAND97096	focal onset tonic-clonic seizures
RAND49994	major motor seizure
RAND87062	tonic-clonic epileptic seizures 
RAND41536	temporal lobe onset seizure
RAND21422	temporal lobe onset seizures
RAND86380	focal motor
RAND54310	focal motor seizure
RAND92408	focal motor seizures
RAND10181	motor seizure
RAND69894	motor seizures
RAND50963	partial motor attacks
RAND29561	partial motor seizure 
RAND27348	partial motor seizures   
RAND42398	simple partial seizure with motor dysfunction
RAND71480	simple partial seizures with motor signs
RAND20974	myoclonus, intention
RAND46197	Jacksonian seizure
RAND91965	Jacksonian seizures
RAND26853	myoclonus, palatal
RAND72531	palatal nystagmus
RAND37578	paramyoclonus multiplex
RAND14214	seizure
RAND67153	seizures
RAND51022	generalized status epilepticus
RAND56117	status epilepticus 
RAND33618	status epilepticus, generalized
RAND26423	status epilepticus, unspecified
RAND46279	frontal lobe seizure
RAND88458	frontal lobe seizures
RAND76108	motor simple partial status
RAND60595	complex partial epileptic seizure
RAND96888	Complex partial seizure
RAND92396	complex partial seizures
RAND76006	Partial complex seizure
RAND15698	Partial complex seizures
RAND50605	partial epilepsy, complex
RAND58829	Psychomotor fit
RAND94461	convulsions in newborn
RAND90200	convulsions in the newborn 
RAND93641	convulsions neonatal
RAND80963	convulsions of newborn
RAND62739	fits in newborn
RAND96386	fits in the newborn
RAND57884	neonatal convulsions
RAND88453	neonatal seizures
RAND26515	seizures in newborn
RAND93005	seizures in the newborn
RAND17588	generalised convulsions
RAND77429	generalised fit
RAND73998	generalised fits
RAND55581	generalised seizure
RAND83949	generalised seizures
RAND50292	Generalized-onset seizure
RAND56834	seizure, generalized
RAND81101	Clonic convulsion
RAND14551	Clonic convulsions
RAND48448	Clonic Seizure
RAND56333	Clonic Seizures
RAND70477	epileptic aura
RAND60190	partial seizures, simple
RAND92378	partial seizures, simple, consciousness preserved
RAND44500	simple partial seizure
RAND32072	simple partial seizure, consciousness not impaired
RAND20067	simple partial seizures
RAND79828	simple partial seizures with consciousness preserved
RAND38144	dysphonia of palatopharyngolaryngeal myoclonus
RAND32869	essential myoclonus
RAND27014	familial essential myoclonus
RAND22513	cursive seizure
RAND65896	cursive seizures
RAND74973	gelastic seizure
RAND26178	gelastic seizures
RAND98689	retropulsion absence
RAND57802	retropulsion petit mal
RAND67131	centrencephalic absence
RAND23803	absence status
RAND10240	epilepsia minoris continua
RAND75434	epileptic absence status
RAND33873	epileptic confusional state
RAND14115	non-convulsive status epilepticus wth impaired consciousness
RAND10857	petit mal status epilepticus
RAND85861	petit mal status, epileptic
RAND41125	petit-mal status
RAND52021	prolonged epileptic twilight state
RAND38855	spike wave stupor
RAND14936	status pyknolepticus
RAND66836	status, absence
RAND60534	status, petit mal
RAND16973	seizure, visual
RAND18693	visual seizure
RAND15718	visual seizures
RAND71922	unclassified epileptic seizures
RAND98566	unclassified epileptic seizures
RAND91551	Simple partial seizures with somatosensory or special sensory dysfunction
RAND29032	complex focal seizures
RAND40565	complex partial seizure with consciousness impaired
RAND67543	complex partial seizure with impairment of consciousness
RAND63538	complex partial seizures with consciousness impaired
RAND26240	complex partial seizures with impairment of consciousness
